id,type,name,category,sponsored,availability,rent,price,modified,created,address,latitude,longitude,size,full_name,keywords,reduced
107528,PROPERTY,Unit 2,RW,false,To Let,,,2021-01-14T14:36:52,2021-01-14T13:57:32,"Chester Road, Castle Bromwich | B36 0LB",52.500579946,-1.761797548,7900,"Unit 2, 280-284 Chester Road","chester road, castle bromwich | b36 0lb,unit 2, 280-284 chester road,"
107532,PROPERTY,1A,RW,false,To Let,,,2021-01-15T09:42:18,2016-06-06T11:36:19,"Princess Alice Retail Park, Sutton Coldfield | B73 6RB",52.5509338,-1.8603027,8648,"1A, Princess Alice Retail Park","princess alice retail park, sutton coldfield | b73 6rb,1a, princess alice retail park,"
108512,PROPERTY,45 Drury Lane,HS,false,To Let,37500,,2021-02-09T15:00:10,2021-02-09T14:43:13,"Drury Lane, Solihull | B91 3BP",52.4137856,-1.7757251,,45 Drury Lane,"drury lane, solihull | b91 3bp,45 drury lane,"
108522,PROPERTY,1 Mell Square,HS,false,To Let,,,2021-02-09T22:12:37,2021-02-09T21:56:34,"Solihull, Solihull | B91 3AZ",52.413306,-1.776399,,1 Mell Square,"solihull, solihull | b91 3az,1 mell square,"
108642,PROPERTY,33-35 Langley High Street,HS,false,To Let,,,2021-02-16T07:42:46,2021-02-16T07:42:38,Oldbury | B69 4SN,52.49119,-2.01249,,33-35 Langley High Street,"oldbury | b69 4sn,33-35 langley high street,"
108643,PROPERTY,22a High Street,HS,false,To Let,,,2021-02-16T07:42:55,2021-02-16T07:42:47,Rowley Regis | B65 0DT,52.47543,-2.04013,,22a High Street,"rowley regis | b65 0dt,22a high street,"
108644,PROPERTY,139 Dunster Road,HS,false,To Let,,,2021-02-16T07:43:04,2021-02-16T07:42:56,Birmingham | B37 7TS,52.4804,-1.73004,,139 Dunster Road,"birmingham | b37 7ts,139 dunster road,"
108654,PROPERTY,5 Church Street,HS,false,To Let,,,2021-02-16T07:44:34,2021-02-16T07:44:26,Oldbury | B69 3AD,52.50423,-2.01592,,5 Church Street,"oldbury | b69 3ad,5 church street,"
108942,PROPERTY,7 Mill Lane,HS,false,To Let,,,2021-02-22T13:04:26,2021-02-22T12:52:49,"Mill Lane, Solihull | B91 3AX",52.4132049,-1.7770715,,7 Mill Lane,"mill lane, solihull | b91 3ax,7 mill lane,"
109444,PROPERTY,The Mailbox,HS,false,To Let,,,2021-03-12T16:06:52,2021-03-12T15:46:38,"63 Wharfside Street, Birmingham | B1 1XL",52.476306235,-1.904376364,5000,The Mailbox,"63 wharfside street, birmingham | b1 1xl,the mailbox,"
109490,PROPERTY,227-229 High Street,HS,false,To Let,,,2021-03-12T16:06:52,2021-03-12T15:52:26,West Bromwich | B70 7NG,52.518671032,-1.991891749,3883,227-229 High Street,"west bromwich | b70 7ng,227-229 high street,"
109499,PROPERTY,1660 High Street Knowle,HS,false,Under Offer,,,2021-03-12T16:06:52,2021-03-12T15:52:53,Solihull | B93 0LY,52.387636997,-1.7341007,2217.5,1660 High Street Knowle,"solihull | b93 0ly,1660 high street knowle,"
109550,PROPERTY,Unit 2,LE,false,To Let,,,2021-03-12T16:06:53,2021-03-12T15:54:16,"Waterside Place, Walsall | WS2 9LB",52.585133846,-1.986359396,4221,Unit 2,"waterside place, walsall | ws2 9lb,unit 2,"
109551,PROPERTY,134B New Street,HS,false,To Let,,,2021-03-12T16:06:53,2021-03-12T15:54:19,Birmingham | B2 4QJ,52.478593444,-1.896944454,3406,134B New Street,"birmingham | b2 4qj,134b new street,"
109585,PROPERTY,The Basement,LE,false,Under Offer,,,2021-03-12T16:06:53,2021-03-12T15:55:44,"95 Spencer Street, Birmingham | B18 6DA",52.489789114,-1.911704876,2141,The Basement,"95 spencer street, birmingham | b18 6da,the basement,"
109593,PROPERTY,59-65 John Bright Street,LE,false,To Let,,,2021-03-12T16:06:53,2021-03-12T15:56:28,Birmingham | B1 1BL,52.476664452,-1.901513182,5015,59-65 John Bright Street,"birmingham | b1 1bl,59-65 john bright street,"
109595,PROPERTY,JARVIS GEORGE HOTEL,HS,false,To Let,,,2021-03-12T16:06:53,2021-03-12T15:56:31,"THE SQUARE, Solihull | B91 3RF",52.411798966,-1.775561275,1656,JARVIS GEORGE HOTEL,"the square, solihull | b91 3rf,jarvis george hotel,"
109604,PROPERTY,37-39 PARK STREET,HS,false,To Let,,,2021-03-12T16:06:53,2021-03-12T15:56:55,Walsall | WS1 1LY,52.584605083,-1.983217216,1731,37-39 PARK STREET,"walsall | ws1 1ly,37-39 park street,"
109651,PROPERTY,72-74 SMALLBROOK QUEENSWAY,HS,false,To Let,,,2021-03-12T16:06:54,2021-03-12T15:58:48,Birmingham | B5 4EG,52.476238527,-1.897524159,6799,72-74 SMALLBROOK QUEENSWAY,"birmingham | b5 4eg,72-74 smallbrook queensway,"
109656,PROPERTY,59-65 John Bright Street,LE,false,Under Offer,,,2021-03-12T16:06:54,2021-03-12T15:59:01,Birmingham | B1 1BL,52.476664452,-1.901513182,5015,59-65 John Bright Street,"birmingham | b1 1bl,59-65 john bright street,"
109665,PROPERTY,,LE,false,Under Offer,,,2021-03-12T15:59:25,2021-03-12T15:59:25,"Brewmasters, Birmingham | B1 2EA",52.478838444,-1.910799185,3642,,"brewmasters, birmingham | b1 2ea,,"
109667,PROPERTY,Brewmasters,LE,false,Under Offer,,,2021-03-12T16:07:02,2021-03-12T16:06:54,"ICC, Birmingham | B1 2EA",52.478838444,-1.910799185,3642,Brewmasters,"icc, birmingham | b1 2ea,brewmasters,"
109668,PROPERTY,Unit 6,RW,false,To Let,,,2021-03-12T16:07:03,2021-03-12T16:07:02,"ICC, Birmingham | B1 2EA",52.478838444,-1.910799185,720,Unit 6,"icc, birmingham | b1 2ea,unit 6,"
109669,PROPERTY,Unit 1A,LE,false,To Let,,,2021-03-12T16:07:12,2021-03-12T16:07:03,"Utilita Arena Birmingham, Birmingham | B1 2AA",52.479893326,-1.914919876,3305,"Unit 1A, Arena Central","utilita arena birmingham, birmingham | b1 2aa,unit 1a, arena central,"
109670,PROPERTY,Various Units,RW,false,To Let,,,2021-03-12T16:07:13,2021-03-12T16:07:12,"National Exhibition Centre, Birmingham | B40 1NT",52.451919912,-1.719631395,6000,Various Units,"national exhibition centre, birmingham | b40 1nt,various units,"
109680,PROPERTY,Unit 18,SC,false,Under Offer,,,2021-03-12T16:07:34,2021-03-12T16:07:33,"Churchill Shopping Centre, Dudley | DY2 7BJ",52.510660353,-2.080602407,1261,"Unit 18, Churchill Shopping Centre","churchill shopping centre, dudley | dy2 7bj,unit 18, churchill shopping centre,"
109681,PROPERTY,Unit 9,SC,false,Under Offer,,,2021-03-12T16:07:36,2021-03-12T16:07:34,"Churchill Shopping Centre, Dudley | DY2 7BL",52.510327671,-2.081125649,1533,"Unit 9, Churchill Shopping Centre","churchill shopping centre, dudley | dy2 7bl,unit 9, churchill shopping centre,"
109682,PROPERTY,Unit 14,SC,false,To Let,,,2021-03-12T16:07:38,2021-03-12T16:07:36,"Churchill Shopping Centre, Dudley | DY2 7BL",52.510327671,-2.081125649,1024,"Unit 14, Churchill Shopping Centre","churchill shopping centre, dudley | dy2 7bl,unit 14, churchill shopping centre,"
109683,PROPERTY,15 Churchill Shopping Centre Dudley,SC,false,To Let,,,2021-03-12T16:07:39,2021-03-12T16:07:38,Dudley | DY2 7BL,52.510327671,-2.081125649,2592,"15 Churchill Shopping Centre Dudley, Churchill Shopping Centre","dudley | dy2 7bl,15 churchill shopping centre dudley, churchill shopping centre,"
109706,PROPERTY,Unit 21,SC,false,To Let,,,2021-03-12T16:08:27,2021-03-12T16:08:26,"20, Walsall | WS1 1YS",52.58443235,-1.984130948,2115,"Unit 21, The Saddlers","20, walsall | ws1 1ys,unit 21, the saddlers,"
109707,PROPERTY,Unit 21,SC,false,To Let,,,2021-03-12T16:08:28,2021-03-12T16:08:27,"20, Walsall | WS1 1YS",52.58443235,-1.984130948,2543,"Unit 21, The Saddlers","20, walsall | ws1 1ys,unit 21, the saddlers,"
109708,PROPERTY,Unit 4,SC,false,To Let,,,2021-03-12T16:08:29,2021-03-12T16:08:28,"21, Walsall | WS1 1YT",52.583910903,-1.983924508,904,"Unit 4, The Saddlers","21, walsall | ws1 1yt,unit 4, the saddlers,"
109709,PROPERTY,Unit 21,SC,false,To Let,,,2021-03-12T16:08:30,2021-03-12T16:08:29,"20, Walsall | WS1 1YS",52.58443235,-1.984130948,1005,"Unit 21, The Saddlers","20, walsall | ws1 1ys,unit 21, the saddlers,"
109710,PROPERTY,Unit 7,SC,false,To Let,,,2021-03-12T16:08:32,2021-03-12T16:08:31,"17, Walsall | WS1 1YT",52.583910903,-1.983924508,2646,"Unit 7, The Saddlers","17, walsall | ws1 1yt,unit 7, the saddlers,"
109711,PROPERTY,Unit 18,SC,false,To Let,,,2021-03-12T16:08:33,2021-03-12T16:08:32,"14-16 Bradford Mall, Walsall | WS1 1YT",52.583910903,-1.983924508,2099,"Unit 18, The Saddlers","14-16 bradford mall, walsall | ws1 1yt,unit 18, the saddlers,"
109712,PROPERTY,Unit 48,SC,false,To Let,,,2021-03-12T16:08:34,2021-03-12T16:08:33,"Park Mall, Walsall | WS1 1YS",52.58443235,-1.984130948,1423,"Unit 48, The Saddlers","park mall, walsall | ws1 1ys,unit 48, the saddlers,"
109713,PROPERTY,Unit 2b,SC,false,To Let,,,2021-03-12T16:08:36,2021-03-12T16:08:34,"Queens Square, West Bromwich | B70 7NJ",52.518320868,-1.991849707,2412,"Unit 2b, Queens Square Shopping Centre","queens square, west bromwich | b70 7nj,unit 2b, queens square shopping centre,"
109714,PROPERTY,Unit 3,SC,false,To Let,,,2021-03-12T16:08:37,2021-03-12T16:08:36,"Queens Square, West Bromwich | B70 7NJ",52.519246151,-1.990448405,1736,"Unit 3, Queens Square Shopping Centre","queens square, west bromwich | b70 7nj,unit 3, queens square shopping centre,"
109715,PROPERTY,Unit 6,SC,false,To Let,,,2021-03-12T16:08:38,2021-03-12T16:08:37,"Queens Square, West Bromwich | B70 7NJ",52.519345423,-1.990767481,1529,"Unit 6, Queens Square Shopping Centre","queens square, west bromwich | b70 7nj,unit 6, queens square shopping centre,"
109716,PROPERTY,Unit 18,LE,false,To Let,,,2021-03-12T16:08:39,2021-03-12T16:08:38,"Sandwell Centre, West Bromwich | B70 7NJ",52.519175032,-1.990296483,1550,"Unit 18, Queens Square Shopping Centre","sandwell centre, west bromwich | b70 7nj,unit 18, queens square shopping centre,"
109717,PROPERTY,Unit 28-29,SC,false,To Let,,,2021-03-12T16:08:41,2021-03-12T16:08:39,"Queens Square, West Bromwich | B70 7NJ",52.519253374,-1.990296483,5530,"Unit 28-29, Queens Square Shopping Centre","queens square, west bromwich | b70 7nj,unit 28-29, queens square shopping centre,"
109718,PROPERTY,Unit 38,SC,false,To Let,,,2021-03-12T16:08:44,2021-03-12T16:08:41,"Queens Square, West Bromwich | B70 7NJ",52.519201146,-1.990768552,4505,"Unit 38, Queens Square Shopping Centre","queens square, west bromwich | b70 7nj,unit 38, queens square shopping centre,"
109719,PROPERTY,Unit 53,SC,false,To Let,,,2021-03-12T16:08:45,2021-03-12T16:08:44,"Queens Square, West Bromwich | B70 7NJ",52.519618965,-1.990897298,2336,"Unit 53, Queens Square Shopping Centre","queens square, west bromwich | b70 7nj,unit 53, queens square shopping centre,"
109720,PROPERTY,Unit 54,SC,false,To Let,,,2021-03-12T16:08:47,2021-03-12T16:08:45,"Queens Square, West Bromwich | B70 7NJ",52.519305601,-1.990382314,2198,"Unit 54, Queens Square Shopping Centre","queens square, west bromwich | b70 7nj,unit 54, queens square shopping centre,"
109721,PROPERTY,Unit 57,SC,false,To Let,,,2021-03-12T16:08:50,2021-03-12T16:08:47,"Queens Square, West Bromwich | B70 7NJ",52.519357828,-1.990553975,2151,"Unit 57, Queens Square Shopping Centre","queens square, west bromwich | b70 7nj,unit 57, queens square shopping centre,"
109722,PROPERTY,2 NEW SQUARE,SC,false,To Let,,,2021-03-12T16:08:51,2021-03-12T16:08:50,West Bromwich | B70 7PP,52.5194711,-1.991198935,3563,"2 NEW SQUARE, Queens Square Shopping Centre","west bromwich | b70 7pp,2 new square, queens square shopping centre,"
109727,PROPERTY,1092-1096 Warwick Road,RW,false,To Let,70000,,2021-03-12T16:53:40,2021-03-12T16:45:45,"Warwick Road, Birmingham | B27 6BH",52.4458008,-1.8200999,7974,"1092-1096 Warwick Road, Acocks Green","warwick road, birmingham | b27 6bh,1092-1096 warwick road, acocks green,"
109752,PROPERTY,72-74 Smallbrook Queensway,HS,false,To Let,,,2021-03-16T08:25:55,2021-03-16T08:25:46,Birmingham | B5 4EG,52.4762,-1.89759,,72-74 Smallbrook Queensway,"birmingham | b5 4eg,72-74 smallbrook queensway,"
109753,PROPERTY,33 Rea Street,HS,false,To Let,,,2021-03-16T08:26:04,2021-03-16T08:25:55,Birmingham | B5 6HT,52.47294,-1.88813,,33 Rea Street,"birmingham | b5 6ht,33 rea street,"
109754,PROPERTY,115-121 Sherlock Street,HS,false,To Let,,,2021-03-16T08:26:13,2021-03-16T08:26:05,Birmingham | B5 6LT,52.47256,-1.89312,,115-121 Sherlock Street,"birmingham | b5 6lt,115-121 sherlock street,"
109755,PROPERTY,5 Wrottesley Street,HS,false,To Let,,,2021-03-16T08:26:22,2021-03-16T08:26:13,Birmingham | B5 4RT,52.47545,-1.8971,,5 Wrottesley Street,"birmingham | b5 4rt,5 wrottesley street,"
109756,PROPERTY,66 Caroline Street,HS,false,To Let,,,2021-03-16T08:26:31,2021-03-16T08:26:22,Birmingham | B3 1UG,52.4866,-1.90865,,66 Caroline Street,"birmingham | b3 1ug,66 caroline street,"
109757,PROPERTY,27 Essex Street,HS,false,To Let,,,2021-03-16T08:26:40,2021-03-16T08:26:32,Birmingham | B5 4TR,52.47369,-1.89885,,27 Essex Street,"birmingham | b5 4tr,27 essex street,"
109758,PROPERTY,123 Digbeth,HS,false,To Let,,,2021-03-16T08:26:51,2021-03-16T08:26:41,Birmingham | B5 6DR,52.47635,-1.891,,123 Digbeth,"birmingham | b5 6dr,123 digbeth,"
109759,PROPERTY,68 New Street,HS,false,To Let,,,2021-03-16T08:27:00,2021-03-16T08:26:51,Birmingham | B2 4DU,52.47949,-1.90151,,68 New Street,"birmingham | b2 4du,68 new street,"
109760,PROPERTY,21 New Street,HS,false,To Let,,,2021-03-16T08:27:09,2021-03-16T08:27:01,Birmingham | B2 4RQ,52.47893,-1.89657,,21 New Street,"birmingham | b2 4rq,21 new street,"
109761,PROPERTY,7 Fore Street,HS,false,To Let,,,2021-03-16T08:27:19,2021-03-16T08:27:11,Birmingham | B2 5ER,52.47971,-1.89762,,7 Fore Street,"birmingham | b2 5er,7 fore street,"
109762,PROPERTY,7 Dale End,HS,false,To Let,,,2021-03-16T08:27:28,2021-03-16T08:27:19,Birmingham | B4 7LT,52.48067,-1.89385,,7 Dale End,"birmingham | b4 7lt,7 dale end,"
109770,PROPERTY,182 Corporation Street,HS,false,To Let,,,2021-03-16T08:28:46,2021-03-16T08:28:39,Birmingham | B4 6UD,52.48301,-1.89342,,182 Corporation Street,"birmingham | b4 6ud,182 corporation street,"
109866,PROPERTY,33-40 Bradford Street,HS,false,To Let,,,2021-03-16T08:42:32,2021-03-16T08:42:25,Birmingham | B5 6HX,52.47449,-1.88907,,33-40 Bradford Street,"birmingham | b5 6hx,33-40 bradford street,"
109867,PROPERTY,104 Corporation Street,HS,false,To Let,,,2021-03-16T08:42:41,2021-03-16T08:42:33,Birmingham | B4 6SX,52.48168,-1.89484,,104 Corporation Street,"birmingham | b4 6sx,104 corporation street,"
109868,PROPERTY,104 Colmore Row,HS,false,To Let,,,2021-03-16T08:42:50,2021-03-16T08:42:42,Birmingham | B3 3AG,52.48062,-1.90124,,104 Colmore Row,"birmingham | b3 3ag,104 colmore row,"
109869,PROPERTY,37a Waterloo Street,HS,false,To Let,,,2021-03-16T08:42:58,2021-03-16T08:42:50,Birmingham | B2 5TJ,52.48015,-1.90127,,37a Waterloo Street,"birmingham | b2 5tj,37a waterloo street,"
110015,PROPERTY,20 Suffolk Street Queensway,HS,false,To Let,,,2021-03-16T09:04:02,2021-03-16T09:03:53,Birmingham | B1 1LW,52.47715,-1.90163,,20 Suffolk Street Queensway,"birmingham | b1 1lw,20 suffolk street queensway,"
110017,PROPERTY,118 Corporation Street,HS,false,To Let,,,2021-03-16T09:04:20,2021-03-16T09:04:11,Birmingham | B4 6SX,52.48143,-1.89464,,118 Corporation Street,"birmingham | b4 6sx,118 corporation street,"
110037,PROPERTY,32a New Street,HS,false,To Let,,,2021-03-16T09:07:22,2021-03-16T09:07:14,Birmingham | B2 4RQ,52.47901,-1.89774,,32a New Street,"birmingham | b2 4rq,32a new street,"
110060,PROPERTY,193-194 Broad Street,HS,false,To Let,,,2021-03-16T09:10:47,2021-03-16T09:10:39,Birmingham | B15 1AY,52.47551,-1.9137,,193-194 Broad Street,"birmingham | b15 1ay,193-194 broad street,"
110072,PROPERTY,69 New Street,HS,false,To Let,,,2021-03-16T09:12:30,2021-03-16T09:12:20,Birmingham | B2 4DU,52.47949,-1.90159,,69 New Street,"birmingham | b2 4du,69 new street,"
110079,PROPERTY,125-127 Sherlock Street,HS,false,To Let,,,2021-03-16T09:13:33,2021-03-16T09:13:25,Birmingham | B5 6NB,52.47153,-1.89399,,125-127 Sherlock Street,"birmingham | b5 6nb,125-127 sherlock street,"
110097,PROPERTY,173 Hagley Road,HS,false,To Let,,,2021-03-16T09:16:13,2021-03-16T09:16:04,Birmingham | B16 9RD,52.47209549,-1.931942105,,173 Hagley Road,"birmingham | b16 9rd,173 hagley road,"
110107,PROPERTY,3 Temple Row West,HS,false,To Let,,,2021-03-16T09:17:43,2021-03-16T09:17:35,Birmingham | B2 5NY,52.48109,-1.89997,,3 Temple Row West,"birmingham | b2 5ny,3 temple row west,"
110143,PROPERTY,88-90 New Street,HS,false,To Let,,,2021-03-16T09:22:45,2021-03-16T09:22:37,Birmingham | B2 4BA,52.47928,-1.90132,,88-90 New Street,"birmingham | b2 4ba,88-90 new street,"
110168,PROPERTY,Ladywell Walk,HS,false,To Let,,,2021-03-16T09:26:23,2021-03-16T09:26:14,Birmingham | B5 4ST,52.4753,-1.89631,,Ladywell Walk,"birmingham | b5 4st,ladywell walk,"
110172,PROPERTY,2a Bagot Street,HS,false,To Let,,,2021-03-16T09:26:58,2021-03-16T09:26:50,Birmingham | B4 7BA,52.48907,-1.89108,,2a Bagot Street,"birmingham | b4 7ba,2a bagot street,"
110185,PROPERTY,131a Digbeth,HS,false,To Let,,,2021-03-16T09:28:46,2021-03-16T09:28:38,Birmingham | B5 6DR,52.47628,-1.89087,,131a Digbeth,"birmingham | b5 6dr,131a digbeth,"
110201,PROPERTY,13 Caroline Street,HS,false,To Let,,,2021-03-16T09:31:10,2021-03-16T09:31:02,Birmingham | B3 1TR,52.4859,-1.90529,,13 Caroline Street,"birmingham | b3 1tr,13 caroline street,"
110202,PROPERTY,28c Great Hampton Street,HS,false,To Let,,,2021-03-16T09:31:19,2021-03-16T09:31:11,Birmingham | B18 6AA,52.4899,-1.90862,,28c Great Hampton Street,"birmingham | b18 6aa,28c great hampton street,"
110213,PROPERTY,88 Dudley Street,HS,false,To Let,,,2021-03-16T09:33:00,2021-03-16T09:32:50,Birmingham | B5 4EG,52.47647,-1.89716,,88 Dudley Street,"birmingham | b5 4eg,88 dudley street,"
110218,PROPERTY,76 Pershore Road,HS,false,To Let,,,2021-03-16T09:33:44,2021-03-16T09:33:36,Birmingham | B5 7BS,52.46544,-1.89854,,76 Pershore Road,"birmingham | b5 7bs,76 pershore road,"
110219,PROPERTY,30 St. Pauls Square,HS,false,To Let,,,2021-03-16T09:33:53,2021-03-16T09:33:45,Birmingham | B3 1QJ,52.48594,-1.90585,,30 St. Pauls Square,"birmingham | b3 1qj,30 st. pauls square,"
110227,PROPERTY,1 Browning Street,HS,false,To Let,,,2021-03-16T09:34:54,2021-03-16T09:34:45,Birmingham | B16 8EH,52.47827,-1.9197,,1 Browning Street,"birmingham | b16 8eh,1 browning street,"
110228,PROPERTY,382 Dudley Road,HS,false,To Let,,,2021-03-16T09:35:03,2021-03-16T09:34:54,Birmingham | B18 4HH,52.48702,-1.94567,,382 Dudley Road,"birmingham | b18 4hh,382 dudley road,"
110229,PROPERTY,289 Gooch Street,HS,false,To Let,,,2021-03-16T09:35:11,2021-03-16T09:35:04,Birmingham | B5 7JP,52.46569,-1.89218,,289 Gooch Street,"birmingham | b5 7jp,289 gooch street,"
110238,PROPERTY,2 Ladywood Middleway,HS,false,To Let,,,2021-03-16T09:36:30,2021-03-16T09:36:22,Birmingham | B16 8HA,52.4747,-1.92049,,2 Ladywood Middleway,"birmingham | b16 8ha,2 ladywood middleway,"
110239,PROPERTY,7 Cannon Street,HS,false,To Let,,,2021-03-16T09:36:40,2021-03-16T09:36:31,Birmingham | B2 5EF,52.47957,-1.89834,,7 Cannon Street,"birmingham | b2 5ef,7 cannon street,"
